===== VARIABLES =====
17 int_lin_ne: Variables [1,3] | Constants [1,-1,0]
18 int_lin_ne: Variables [1,4] | Constants [1,-1,0]
19 int_lin_ne: Variables [1,5] | Constants [1,-1,0]
20 int_lin_ne: Variables [1,6] | Constants [1,-1,0]
21 int_lin_ne: Variables [1,7] | Constants [1,-1,0]
22 int_lin_ne: Variables [1,8] | Constants [1,-1,0]
23 int_lin_ne: Variables [1,9] | Constants [1,-1,0]
24 int_lin_ne: Variables [1,10] | Constants [1,-1,0]
25 int_lin_ne: Variables [1,11] | Constants [1,-1,0]
26 int_lin_ne: Variables [1,12] | Constants [1,-1,0]
27 int_lin_ne: Variables [1,13] | Constants [1,-1,0]
28 int_lin_ne: Variables [1,14] | Constants [1,-1,0]
29 int_lin_ne: Variables [1,15] | Constants [1,-1,0]
30 int_lin_ne: Variables [1,16] | Constants [1,-1,0]
31 int_lin_ne: Variables [2,3] | Constants [1,-1,0]
32 int_lin_ne: Variables [2,4] | Constants [1,-1,0]
33 int_lin_ne: Variables [2,5] | Constants [1,-1,0]
34 int_lin_ne: Variables [2,6] | Constants [1,-1,0]
35 int_lin_ne: Variables [2,7] | Constants [1,-1,0]
36 int_lin_ne: Variables [2,8] | Constants [1,-1,0]
37 int_lin_ne: Variables [2,9] | Constants [1,-1,0]
38 int_lin_ne: Variables [2,10] | Constants [1,-1,0]
39 int_lin_ne: Variables [2,11] | Constants [1,-1,0]
40 int_lin_ne: Variables [2,12] | Constants [1,-1,0]
41 int_lin_ne: Variables [2,13] | Constants [1,-1,0]
42 int_lin_ne: Variables [2,14] | Constants [1,-1,0]
43 int_lin_ne: Variables [2,15] | Constants [1,-1,0]
44 int_lin_ne: Variables [2,16] | Constants [1,-1,0]
45 int_lin_ne: Variables [3,4] | Constants [1,-1,0]
46 int_lin_ne: Variables [3,5] | Constants [1,-1,0]
47 int_lin_ne: Variables [3,6] | Constants [1,-1,0]
48 int_lin_ne: Variables [3,7] | Constants [1,-1,0]
49 int_lin_ne: Variables [3,8] | Constants [1,-1,0]
50 int_lin_ne: Variables [3,9] | Constants [1,-1,0]
51 int_lin_ne: Variables [3,10] | Constants [1,-1,0]
52 int_lin_ne: Variables [3,11] | Constants [1,-1,0]
53 int_lin_ne: Variables [3,12] | Constants [1,-1,0]
54 int_lin_ne: Variables [3,13] | Constants [1,-1,0]
55 int_lin_ne: Variables [3,14] | Constants [1,-1,0]
56 int_lin_ne: Variables [3,15] | Constants [1,-1,0]
57 int_lin_ne: Variables [3,16] | Constants [1,-1,0]
58 int_lin_ne: Variables [4,5] | Constants [1,-1,0]
59 int_lin_ne: Variables [4,6] | Constants [1,-1,0]
60 int_lin_ne: Variables [4,7] | Constants [1,-1,0]
61 int_lin_ne: Variables [4,8] | Constants [1,-1,0]
62 int_lin_ne: Variables [4,9] | Constants [1,-1,0]
63 int_lin_ne: Variables [4,10] | Constants [1,-1,0]
64 int_lin_ne: Variables [4,11] | Constants [1,-1,0]
65 int_lin_ne: Variables [4,12] | Constants [1,-1,0]
66 int_lin_ne: Variables [4,13] | Constants [1,-1,0]
67 int_lin_ne: Variables [4,14] | Constants [1,-1,0]
68 int_lin_ne: Variables [4,15] | Constants [1,-1,0]
69 int_lin_ne: Variables [4,16] | Constants [1,-1,0]
70 int_lin_ne: Variables [5,6] | Constants [1,-1,0]
71 int_lin_ne: Variables [5,7] | Constants [1,-1,0]
72 int_lin_ne: Variables [5,8] | Constants [1,-1,0]
73 int_lin_ne: Variables [5,9] | Constants [1,-1,0]
74 int_lin_ne: Variables [5,10] | Constants [1,-1,0]
75 int_lin_ne: Variables [5,11] | Constants [1,-1,0]
76 int_lin_ne: Variables [5,12] | Constants [1,-1,0]
77 int_lin_ne: Variables [5,13] | Constants [1,-1,0]
78 int_lin_ne: Variables [5,14] | Constants [1,-1,0]
79 int_lin_ne: Variables [5,15] | Constants [1,-1,0]
80 int_lin_ne: Variables [5,16] | Constants [1,-1,0]
81 int_lin_ne: Variables [6,7] | Constants [1,-1,0]
82 int_lin_ne: Variables [6,8] | Constants [1,-1,0]
83 int_lin_ne: Variables [6,9] | Constants [1,-1,0]
84 int_lin_ne: Variables [6,10] | Constants [1,-1,0]
85 int_lin_ne: Variables [6,11] | Constants [1,-1,0]
86 int_lin_ne: Variables [6,12] | Constants [1,-1,0]
87 int_lin_ne: Variables [6,13] | Constants [1,-1,0]
88 int_lin_ne: Variables [6,14] | Constants [1,-1,0]
89 int_lin_ne: Variables [6,15] | Constants [1,-1,0]
90 int_lin_ne: Variables [6,16] | Constants [1,-1,0]
91 int_lin_ne: Variables [7,8] | Constants [1,-1,0]
92 int_lin_ne: Variables [7,9] | Constants [1,-1,0]
93 int_lin_ne: Variables [7,10] | Constants [1,-1,0]
94 int_lin_ne: Variables [7,11] | Constants [1,-1,0]
95 int_lin_ne: Variables [7,12] | Constants [1,-1,0]
96 int_lin_ne: Variables [7,13] | Constants [1,-1,0]
97 int_lin_ne: Variables [7,14] | Constants [1,-1,0]
98 int_lin_ne: Variables [7,15] | Constants [1,-1,0]
99 int_lin_ne: Variables [7,16] | Constants [1,-1,0]
100 int_lin_ne: Variables [8,9] | Constants [1,-1,0]
101 int_lin_ne: Variables [8,10] | Constants [1,-1,0]
102 int_lin_ne: Variables [8,11] | Constants [1,-1,0]
103 int_lin_ne: Variables [8,12] | Constants [1,-1,0]
104 int_lin_ne: Variables [8,13] | Constants [1,-1,0]
105 int_lin_ne: Variables [8,14] | Constants [1,-1,0]
106 int_lin_ne: Variables [8,15] | Constants [1,-1,0]
107 int_lin_ne: Variables [8,16] | Constants [1,-1,0]
108 int_lin_ne: Variables [9,10] | Constants [1,-1,0]
109 int_lin_ne: Variables [9,11] | Constants [1,-1,0]
110 int_lin_ne: Variables [9,12] | Constants [1,-1,0]
111 int_lin_ne: Variables [9,13] | Constants [1,-1,0]
112 int_lin_ne: Variables [9,14] | Constants [1,-1,0]
113 int_lin_ne: Variables [9,15] | Constants [1,-1,0]
114 int_lin_ne: Variables [9,16] | Constants [1,-1,0]
115 int_lin_ne: Variables [10,11] | Constants [1,-1,0]
116 int_lin_ne: Variables [10,12] | Constants [1,-1,0]
117 int_lin_ne: Variables [10,13] | Constants [1,-1,0]
118 int_lin_ne: Variables [10,14] | Constants [1,-1,0]
119 int_lin_ne: Variables [10,15] | Constants [1,-1,0]
120 int_lin_ne: Variables [10,16] | Constants [1,-1,0]
121 int_lin_ne: Variables [11,12] | Constants [1,-1,0]
122 int_lin_ne: Variables [11,13] | Constants [1,-1,0]
123 int_lin_ne: Variables [11,14] | Constants [1,-1,0]
124 int_lin_ne: Variables [11,15] | Constants [1,-1,0]
125 int_lin_ne: Variables [11,16] | Constants [1,-1,0]
126 int_lin_ne: Variables [12,13] | Constants [1,-1,0]
127 int_lin_ne: Variables [12,14] | Constants [1,-1,0]
128 int_lin_ne: Variables [12,15] | Constants [1,-1,0]
129 int_lin_ne: Variables [12,16] | Constants [1,-1,0]
130 int_lin_ne: Variables [13,14] | Constants [1,-1,0]
131 int_lin_ne: Variables [13,15] | Constants [1,-1,0]
132 int_lin_ne: Variables [13,16] | Constants [1,-1,0]
133 int_lin_ne: Variables [14,15] | Constants [1,-1,0]
134 int_lin_ne: Variables [14,16] | Constants [1,-1,0]
135 int_lin_ne: Variables [15,16] | Constants [1,-1,0]
136 int_lin_ne: Variables [35] | Constants [-1,-1]
137 int_lin_ne: Variables [36] | Constants [-1,-1]
138 int_lin_ne: Variables [37] | Constants [-1,-1]
139 int_lin_ne: Variables [38] | Constants [-1,-1]
140 int_lin_ne: Variables [39] | Constants [-1,-1]
141 int_lin_ne: Variables [40] | Constants [-1,-1]
142 int_lin_ne: Variables [41] | Constants [-1,-1]
143 int_lin_ne: Variables [42] | Constants [-1,-1]
144 int_lin_ne: Variables [43] | Constants [-1,-1]
145 int_lin_ne: Variables [44] | Constants [-1,-1]
146 int_lin_ne: Variables [45] | Constants [-1,-1]
147 int_lin_ne: Variables [46] | Constants [-1,-1]
148 int_lin_ne: Variables [47] | Constants [-1,-1]
149 int_lin_ne: Variables [48] | Constants [-1,-1]
150 int_lin_ne: Variables [49] | Constants [-1,-1]
151 int_lin_ne: Variables [50] | Constants [-1,-1]
152 int_lin_ne: Variables [35,36] | Constants [1,-1,0]
153 int_lin_ne: Variables [35,37] | Constants [1,-1,0]
154 int_lin_ne: Variables [35,38] | Constants [1,-1,0]
155 int_lin_ne: Variables [35,39] | Constants [1,-1,0]
156 int_lin_ne: Variables [35,40] | Constants [1,-1,0]
157 int_lin_ne: Variables [35,41] | Constants [1,-1,0]
158 int_lin_ne: Variables [35,42] | Constants [1,-1,0]
159 int_lin_ne: Variables [35,43] | Constants [1,-1,0]
160 int_lin_ne: Variables [35,44] | Constants [1,-1,0]
161 int_lin_ne: Variables [35,45] | Constants [1,-1,0]
162 int_lin_ne: Variables [35,46] | Constants [1,-1,0]
163 int_lin_ne: Variables [35,47] | Constants [1,-1,0]
164 int_lin_ne: Variables [35,48] | Constants [1,-1,0]
165 int_lin_ne: Variables [35,49] | Constants [1,-1,0]
166 int_lin_ne: Variables [35,50] | Constants [1,-1,0]
167 int_lin_ne: Variables [36,37] | Constants [1,-1,0]
168 int_lin_ne: Variables [36,38] | Constants [1,-1,0]
169 int_lin_ne: Variables [36,39] | Constants [1,-1,0]
170 int_lin_ne: Variables [36,40] | Constants [1,-1,0]
171 int_lin_ne: Variables [36,41] | Constants [1,-1,0]
172 int_lin_ne: Variables [36,42] | Constants [1,-1,0]
173 int_lin_ne: Variables [36,43] | Constants [1,-1,0]
174 int_lin_ne: Variables [36,44] | Constants [1,-1,0]
175 int_lin_ne: Variables [36,45] | Constants [1,-1,0]
176 int_lin_ne: Variables [36,46] | Constants [1,-1,0]
177 int_lin_ne: Variables [36,47] | Constants [1,-1,0]
178 int_lin_ne: Variables [36,48] | Constants [1,-1,0]
179 int_lin_ne: Variables [36,49] | Constants [1,-1,0]
180 int_lin_ne: Variables [36,50] | Constants [1,-1,0]
181 int_lin_ne: Variables [37,38] | Constants [1,-1,0]
182 int_lin_ne: Variables [37,39] | Constants [1,-1,0]
183 int_lin_ne: Variables [37,40] | Constants [1,-1,0]
184 int_lin_ne: Variables [37,41] | Constants [1,-1,0]
185 int_lin_ne: Variables [37,42] | Constants [1,-1,0]
186 int_lin_ne: Variables [37,43] | Constants [1,-1,0]
187 int_lin_ne: Variables [37,44] | Constants [1,-1,0]
188 int_lin_ne: Variables [37,45] | Constants [1,-1,0]
189 int_lin_ne: Variables [37,46] | Constants [1,-1,0]
190 int_lin_ne: Variables [37,47] | Constants [1,-1,0]
191 int_lin_ne: Variables [37,48] | Constants [1,-1,0]
192 int_lin_ne: Variables [37,49] | Constants [1,-1,0]
193 int_lin_ne: Variables [37,50] | Constants [1,-1,0]
194 int_lin_ne: Variables [38,39] | Constants [1,-1,0]
195 int_lin_ne: Variables [38,40] | Constants [1,-1,0]
196 int_lin_ne: Variables [38,41] | Constants [1,-1,0]
197 int_lin_ne: Variables [38,42] | Constants [1,-1,0]
198 int_lin_ne: Variables [38,43] | Constants [1,-1,0]
199 int_lin_ne: Variables [38,44] | Constants [1,-1,0]
200 int_lin_ne: Variables [38,45] | Constants [1,-1,0]
201 int_lin_ne: Variables [38,46] | Constants [1,-1,0]
202 int_lin_ne: Variables [38,47] | Constants [1,-1,0]
203 int_lin_ne: Variables [38,48] | Constants [1,-1,0]
204 int_lin_ne: Variables [38,49] | Constants [1,-1,0]
205 int_lin_ne: Variables [38,50] | Constants [1,-1,0]
206 int_lin_ne: Variables [39,40] | Constants [1,-1,0]
207 int_lin_ne: Variables [39,41] | Constants [1,-1,0]
208 int_lin_ne: Variables [39,42] | Constants [1,-1,0]
209 int_lin_ne: Variables [39,43] | Constants [1,-1,0]
210 int_lin_ne: Variables [39,44] | Constants [1,-1,0]
211 int_lin_ne: Variables [39,45] | Constants [1,-1,0]
212 int_lin_ne: Variables [39,46] | Constants [1,-1,0]
213 int_lin_ne: Variables [39,47] | Constants [1,-1,0]
214 int_lin_ne: Variables [39,48] | Constants [1,-1,0]
215 int_lin_ne: Variables [39,49] | Constants [1,-1,0]
216 int_lin_ne: Variables [39,50] | Constants [1,-1,0]
217 int_lin_ne: Variables [40,41] | Constants [1,-1,0]
218 int_lin_ne: Variables [40,42] | Constants [1,-1,0]
219 int_lin_ne: Variables [40,43] | Constants [1,-1,0]
220 int_lin_ne: Variables [40,44] | Constants [1,-1,0]
221 int_lin_ne: Variables [40,45] | Constants [1,-1,0]
222 int_lin_ne: Variables [40,46] | Constants [1,-1,0]
223 int_lin_ne: Variables [40,47] | Constants [1,-1,0]
224 int_lin_ne: Variables [40,48] | Constants [1,-1,0]
225 int_lin_ne: Variables [40,49] | Constants [1,-1,0]
226 int_lin_ne: Variables [40,50] | Constants [1,-1,0]
227 int_lin_ne: Variables [41,42] | Constants [1,-1,0]
228 int_lin_ne: Variables [41,43] | Constants [1,-1,0]
229 int_lin_ne: Variables [41,44] | Constants [1,-1,0]
230 int_lin_ne: Variables [41,45] | Constants [1,-1,0]
231 int_lin_ne: Variables [41,46] | Constants [1,-1,0]
232 int_lin_ne: Variables [41,47] | Constants [1,-1,0]
233 int_lin_ne: Variables [41,48] | Constants [1,-1,0]
234 int_lin_ne: Variables [41,49] | Constants [1,-1,0]
235 int_lin_ne: Variables [41,50] | Constants [1,-1,0]
236 int_lin_ne: Variables [42,43] | Constants [1,-1,0]
237 int_lin_ne: Variables [42,44] | Constants [1,-1,0]
238 int_lin_ne: Variables [42,45] | Constants [1,-1,0]
239 int_lin_ne: Variables [42,46] | Constants [1,-1,0]
240 int_lin_ne: Variables [42,47] | Constants [1,-1,0]
241 int_lin_ne: Variables [42,48] | Constants [1,-1,0]
242 int_lin_ne: Variables [42,49] | Constants [1,-1,0]
243 int_lin_ne: Variables [42,50] | Constants [1,-1,0]
244 int_lin_ne: Variables [43,44] | Constants [1,-1,0]
245 int_lin_ne: Variables [43,45] | Constants [1,-1,0]
246 int_lin_ne: Variables [43,46] | Constants [1,-1,0]
247 int_lin_ne: Variables [43,47] | Constants [1,-1,0]
248 int_lin_ne: Variables [43,48] | Constants [1,-1,0]
249 int_lin_ne: Variables [43,49] | Constants [1,-1,0]
250 int_lin_ne: Variables [43,50] | Constants [1,-1,0]
251 int_lin_ne: Variables [44,45] | Constants [1,-1,0]
252 int_lin_ne: Variables [44,46] | Constants [1,-1,0]
253 int_lin_ne: Variables [44,47] | Constants [1,-1,0]
254 int_lin_ne: Variables [44,48] | Constants [1,-1,0]
255 int_lin_ne: Variables [44,49] | Constants [1,-1,0]
256 int_lin_ne: Variables [44,50] | Constants [1,-1,0]
257 int_lin_ne: Variables [45,46] | Constants [1,-1,0]
258 int_lin_ne: Variables [45,47] | Constants [1,-1,0]
259 int_lin_ne: Variables [45,48] | Constants [1,-1,0]
260 int_lin_ne: Variables [45,49] | Constants [1,-1,0]
261 int_lin_ne: Variables [45,50] | Constants [1,-1,0]
262 int_lin_ne: Variables [46,47] | Constants [1,-1,0]
263 int_lin_ne: Variables [46,48] | Constants [1,-1,0]
264 int_lin_ne: Variables [46,49] | Constants [1,-1,0]
265 int_lin_ne: Variables [46,50] | Constants [1,-1,0]
266 int_lin_ne: Variables [47,48] | Constants [1,-1,0]
267 int_lin_ne: Variables [47,49] | Constants [1,-1,0]
268 int_lin_ne: Variables [47,50] | Constants [1,-1,0]
269 int_lin_ne: Variables [48,49] | Constants [1,-1,0]
270 int_lin_ne: Variables [48,50] | Constants [1,-1,0]
271 int_lin_ne: Variables [49,50] | Constants [1,-1,0]
272 array_var_int_element: Variables [0,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,68] | Constants []
273 int_lin_eq: Variables [69,70] | Constants [1,-1,1,1,1]
274 array_var_int_element: Variables [1,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51] | Constants []
275 bool_clause: Variables [1,0] | Constants [1,1]
276 array_bool_or_reif: Variables [0,2,48] | Constants []
277 array_var_int_element: Variables [2,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52] | Constants []
278 bool_clause: Variables [4,3] | Constants [1,1]
279 array_bool_or_reif: Variables [3,5,49] | Constants []
280 array_var_int_element: Variables [3,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,53] | Constants []
281 bool_clause: Variables [7,6] | Constants [1,1]
282 array_bool_or_reif: Variables [6,8,50] | Constants []
283 array_var_int_element: Variables [4,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,54] | Constants []
284 bool_clause: Variables [10,9] | Constants [1,1]
285 array_bool_or_reif: Variables [9,11,51] | Constants []
286 array_var_int_element: Variables [5,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,55] | Constants []
287 bool_clause: Variables [13,12] | Constants [1,1]
288 array_bool_or_reif: Variables [12,14,52] | Constants []
289 array_var_int_element: Variables [6,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,56] | Constants []
290 bool_clause: Variables [16,15] | Constants [1,1]
291 array_bool_or_reif: Variables [15,17,53] | Constants []
292 array_var_int_element: Variables [7,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,57] | Constants []
293 bool_clause: Variables [19,18] | Constants [1,1]
294 array_bool_or_reif: Variables [18,20,54] | Constants []
295 array_var_int_element: Variables [8,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,58] | Constants []
296 bool_clause: Variables [22,21] | Constants [1,1]
297 array_bool_or_reif: Variables [21,23,55] | Constants []
298 array_var_int_element: Variables [9,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,59] | Constants []
299 bool_clause: Variables [25,24] | Constants [1,1]
300 array_bool_or_reif: Variables [24,26,56] | Constants []
301 array_var_int_element: Variables [10,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,60] | Constants []
302 bool_clause: Variables [28,27] | Constants [1,1]
303 array_bool_or_reif: Variables [27,29,57] | Constants []
304 array_var_int_element: Variables [11,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,61] | Constants []
305 bool_clause: Variables [31,30] | Constants [1,1]
306 array_bool_or_reif: Variables [30,32,58] | Constants []
307 array_var_int_element: Variables [12,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,62] | Constants []
308 bool_clause: Variables [34,33] | Constants [1,1]
309 array_bool_or_reif: Variables [33,35,59] | Constants []
310 array_var_int_element: Variables [13,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,63] | Constants []
311 bool_clause: Variables [37,36] | Constants [1,1]
312 array_bool_or_reif: Variables [36,38,60] | Constants []
313 array_var_int_element: Variables [14,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,64] | Constants []
314 bool_clause: Variables [40,39] | Constants [1,1]
315 array_bool_or_reif: Variables [39,41,61] | Constants []
316 array_var_int_element: Variables [15,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,65] | Constants []
317 bool_clause: Variables [43,42] | Constants [1,1]
318 array_bool_or_reif: Variables [42,44,62] | Constants []
319 array_var_int_element: Variables [16,67,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,66] | Constants []
320 bool_clause: Variables [46,45] | Constants [1,1]
321 array_bool_or_reif: Variables [45,47,63] | Constants []
322 array_int_element: Variables [0,17] | Constants [0,633,257,91,412,150,80,134,259,505,353,324,70,211,268,246,121]
323 array_int_element: Variables [1,18] | Constants [633,0,390,661,227,488,572,530,555,289,282,638,567,466,420,745,518]
324 array_int_element: Variables [2,19] | Constants [257,390,0,228,169,112,196,154,372,262,110,437,191,74,53,472,142]
325 array_int_element: Variables [3,20] | Constants [91,661,228,0,383,120,77,105,175,476,324,240,27,182,239,237,84]
326 array_int_element: Variables [4,21] | Constants [412,227,169,383,0,267,351,309,338,196,61,421,346,243,199,528,297]
327 array_int_element: Variables [5,22] | Constants [150,488,112,120,267,0,63,34,264,360,208,329,83,105,123,364,35]
328 array_int_element: Variables [6,23] | Constants [80,572,196,77,351,63,0,29,232,444,292,297,47,150,207,332,29]
329 array_int_element: Variables [7,24] | Constants [134,530,154,105,309,34,29,0,249,402,250,314,68,108,165,349,36]
330 array_int_element: Variables [8,25] | Constants [259,555,372,175,338,264,232,249,0,495,352,95,189,326,383,202,236]
331 array_int_element: Variables [9,26] | Constants [505,289,262,476,196,360,444,402,495,0,154,578,439,336,240,685,390]
332 array_int_element: Variables [10,27] | Constants [353,282,110,324,61,208,292,250,352,154,0,435,287,184,140,542,238]
333 array_int_element: Variables [11,28] | Constants [324,638,437,240,421,329,297,314,95,578,435,0,254,391,448,157,301]
334 array_int_element: Variables [12,29] | Constants [70,567,191,27,346,83,47,68,189,439,287,254,0,145,202,289,55]
335 array_int_element: Variables [13,30] | Constants [211,466,74,182,243,105,150,108,326,336,184,391,145,0,57,426,96]
336 array_int_element: Variables [14,31] | Constants [268,420,53,239,199,123,207,165,383,240,140,448,202,57,0,483,153]
337 array_int_element: Variables [15,32] | Constants [246,745,472,237,528,364,332,349,202,685,542,157,289,426,483,0,336]
338 array_int_element: Variables [16,33] | Constants [121,518,142,84,297,35,29,36,236,390,238,301,55,96,153,336,0]
339 int_lin_eq: Variables [34,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33] | Constants [1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,17]
340 int_eq_reif: Variables [35,71,0] | Constants []
341 int_eq_reif: Variables [51,72,1] | Constants []
342 int_lin_eq_reif: Variables [51,35,2] | Constants [1,-1,1,1,1]
343 int_eq_reif: Variables [36,73,3] | Constants []
344 int_eq_reif: Variables [52,74,4] | Constants []
345 int_lin_eq_reif: Variables [52,36,5] | Constants [1,-1,1,1,1]
346 int_eq_reif: Variables [37,75,6] | Constants []
347 int_eq_reif: Variables [53,76,7] | Constants []
348 int_lin_eq_reif: Variables [53,37,8] | Constants [1,-1,1,1,1]
349 int_eq_reif: Variables [38,77,9] | Constants []
350 int_eq_reif: Variables [54,78,10] | Constants []
